"Player ID",Salutation,"Full Name",Mobile,Email,Address,Category,Role,Experience,"Batting Type","Bowling Type","Jersey Nickname","Jersey Number","Jersey Size","Track Pant Size","Matches Played",Innings,"Runs Scored","Highest Score","Batting Avg","Strike Rate",Fifties,Hundreds,Wickets,"Bowling Avg",Economy,"Best Bowling",Catches,Stumpings
SPL2-001,Ms.,"RANIYA SHRUTHI",9876543001,raniyashruthi1@sandalwoodspl.com,"Rajajinagar, Bengaluru","Female Celebrities",All-rounder,Intermediate,"Left Hand","Right Arm Medium",RANIYA,1,L,32,37,30,1140,93,42.22,148.90,3,0,22,25.01,7.18,4/26,16,0
SPL2-002,Mr.,"Aarav Patil",9876543002,aaravpatil2@sandalwoodspl.com,"Jayanagar, Bengaluru",Directors,All-rounder,Professional,"Right Hand","Left Arm Spin",Aarav,2,XL,34,23,21,756,60,44.47,137.44,2,0,17,25.07,6.82,3/15,6,0
SPL2-003,Mr.,"Aarav Shetty",9876543003,aaravshetty3@sandalwoodspl.com,"Malleshwaram, Bengaluru",Employees,Bowler,"Club Level","Right Hand","Right Arm Off Spin",Aarav,3,XXL,36,23,17,255,26,17.00,110.13,0,0,37,17.69,7.61,5/31,9,0
SPL2-004,Mr.,Abhishek,9876543004,abhishek4@sandalwoodspl.com,"Koramangala, Bengaluru",Media,All-rounder,Advanced,"Right Hand","Leg Spin",Abhishek,4,L,38,17,17,374,88,24.93,149.08,1,0,19,20.38,7.56,3/22,14,0
SPL2-005,Mr.,"Abhishek Kulkarni",9876543005,abhishekkulkarni5@sandalwoodspl.com,"Whitefield, Bengaluru",Guests,Batsman,Intermediate,"Left Hand","Right Arm Fast",Abhishek,5,M,30,35,33,1221,92,40.70,154.84,5,0,0,0.00,0.00,-,9,0
SPL2-006,Mr.,"Abhishek Rao",9876543006,abhishekrao6@sandalwoodspl.com,"Banashankari, Bengaluru",Employees,"Wicket Keeper",Professional,"Right Hand","Right Arm Medium",Abhishek,6,L,32,14,13,507,69,63.38,145.86,1,0,0,0.00,0.00,-,24,7
SPL2-007,Mr.,"Abhishek RK",9876543007,abhishekrk7@sandalwoodspl.com,"Nagarbhavi, Bengaluru",Celebrities,All-rounder,"Club Level","Right Hand","Left Arm Spin",Abhishek,7,XL,34,13,11,264,71,37.71,146.97,0,0,15,23.45,7.99,2/24,13,0
SPL2-008,Mr.,"Adarsha Hegde",9876543008,adarshahegde8@sandalwoodspl.com,"JP Nagar, Bengaluru",Celebrities,All-rounder,Advanced,"Right Hand","Right Arm Off Spin",Adarsha,8,XXL,36,34,33,759,59,24.48,147.25,2,0,35,22.39,8.10,2/24,16,0
SPL2-009,Mr.,"Aditya Shetty",9876543009,adityashetty9@sandalwoodspl.com,"Basavanagudi, Bengaluru",Directors,All-rounder,Intermediate,"Left Hand","Leg Spin",Aditya,9,L,38,33,27,891,60,38.74,148.30,2,0,29,31.00,9.10,3/28,12,0
SPL2-010,Mr.,"Agasthya n",9876543010,agasthyan10@sandalwoodspl.com,"Sadashivanagar, Bengaluru",Directors,All-rounder,Professional,"Right Hand","Right Arm Fast",Agasthya,10,M,30,13,10,230,81,38.33,131.79,0,0,10,30.39,8.77,2/18,8,0
